case	ecli	celex
C-85/23	ECLI:EU:C:2024:161	62023CJ0085
C-86/23	ECLI:EU:C:2024:689	62023CJ0086
C-87/23	ECLI:EU:C:2024:570	62023CJ0087
C-88/23	ECLI:EU:C:2024:765	62023CJ0088
C-89/23	ECLI:EU:C:2024:333	62023CJ0089
C-104/23	ECLI:EU:C:2024:504	62023CJ0104
C-116/23	ECLI:EU:C:2024:292	62023CJ0116
C-122/23	ECLI:EU:C:2024:293	62023CJ0122
C-129/23	ECLI:EU:C:2024:995	62023CJ0129
C-135/23	ECLI:EU:C:2024:526	62023CJ0135
C-148/23	ECLI:EU:C:2024:555	62023CJ0148
C-159/23	ECLI:EU:C:2024:887	62023CJ0159
C-182/23	ECLI:EU:C:2024:604	62023CJ0182
